CowID,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,still_milking,AniLifeNumber
785,1,1,2023-03-13 00:00:00.000,2023-03-14 00:00:00.000,2023-12-22 00:00:00.000,283,7932.2,4.599964,3.482049,2023-12-22 00:00:00.000,56,0,FR 4404288498
789,1,1,2023-03-27 00:00:00.000,2023-03-29 00:00:00.000,2023-04-06 00:00:00.000,8,145.5,5.377777,3.642222,2023-04-06 00:00:00.000,NULL,1,FR 4404288499
792,1,1,2023-05-29 00:00:00.000,2023-05-30 00:00:00.000,2024-08-26 00:00:00.000,454,13941.7,4.837890,3.513164,2024-08-26 00:00:00.000,NULL,1,FR 4404288500
797,2,3,2024-09-12 00:00:00.000,2024-09-12 00:00:00.000,2024-09-19 00:00:00.000,7,182.7,4.762500,3.830000,2024-09-19 00:00:00.000,NULL,1,FR 4404288502
797,1,1,2023-03-26 00:00:00.000,2023-03-27 00:00:00.000,2024-06-28 00:00:00.000,459,14434.9,4.687782,3.401826,2024-06-28 00:00:00.000,76,0,FR 4404288502
799,2,2,2024-08-02 00:00:00.000,2024-08-02 00:00:00.000,2024-09-19 00:00:00.000,48,2039.8,3.248775,3.408163,2024-09-19 00:00:00.000,NULL,1,FR 4404288503
799,1,1,2023-05-02 00:00:00.000,2023-05-03 00:00:00.000,2024-03-22 00:00:00.000,324,9180.9,4.001969,3.403446,2024-03-22 00:00:00.000,133,0,FR 4404288503
800,2,2,2024-04-12 00:00:00.000,2024-04-13 00:00:00.000,2024-09-19 00:00:00.000,159,7313.9,3.527937,3.487250,2024-09-19 00:00:00.000,NULL,1,FR 4404288504
800,1,1,2023-04-20 00:00:00.000,2023-04-21 00:00:00.000,2024-02-10 00:00:00.000,295,8720.6,4.399898,3.526847,2024-02-10 00:00:00.000,63,0,FR 4404288504
803,2,2,2024-03-27 00:00:00.000,2024-03-27 00:00:00.000,2024-09-19 00:00:00.000,176,7591.9,4.448644,3.259604,2024-09-19 00:00:00.000,NULL,1,FR 4404288505
