AniLifeNumber,Month,mdpMonthlyMilkYield_Liters
FR 4404288075,2017-04,854.271844
FR 4404288079,2017-04,883.980582
FR 4404288080,2017-04,831.456310
FR 4404288082,2017-04,666.990291
FR 4404288083,2017-04,702.038834
FR 4404288088,2017-04,816.699029
FR 4404288097,2017-04,797.184466
FR 4404288098,2017-04,668.349514
FR 4404288100,2017-04,797.281553
FR 4404288101,2017-04,846.116504
FR 4404288102,2017-04,645.048543
FR 4404288105,2017-04,1160.485436
FR 4404288109,2017-04,579.417475
FR 4404288110,2017-04,668.737864
FR 4404288111,2017-04,600.485436
FR 4404288112,2017-04,934.271844
FR 4404288115,2017-04,962.330097
FR 4404288116,2017-04,1039.708737
FR 4404288120,2017-04,1158.834951
FR 4404288121,2017-04,935.533980
FR 4404288122,2017-04,636.699029
FR 4404288126,2017-04,720.970873
FR 4404288127,2017-04,859.902912
FR 4404288128,2017-04,666.893203
FR 4404288129,2017-04,196.893203
FR 4404288130,2017-04,798.932038
FR 4404288131,2017-04,941.747572
FR 4404288132,2017-04,1103.203883
FR 4404288133,2017-04,836.796116
FR 4404288134,2017-04,1003.203883
FR 4404288136,2017-04,971.165048
FR 4404288137,2017-04,851.359223
FR 4404288138,2017-04,780.000000
FR 4404288139,2017-04,663.203883
FR 4404288141,2017-04,1035.242718
FR 4404288142,2017-04,1024.466019
FR 4404288143,2017-04,675.048543
FR 4404288145,2017-04,517.378640
FR 4404288146,2017-04,1131.456310
FR 4404288149,2017-04,372.621359
FR 4404288150,2017-04,160.388349
FR 4404288154,2017-04,321.941747
FR 4404288155,2017-04,752.815533
FR 4404288156,2017-04,706.504854
FR 4404288157,2017-04,661.844660
FR 4404288158,2017-04,686.019417
FR 4404288159,2017-04,695.048543
FR 4404288161,2017-04,568.155339
FR 4404288162,2017-04,823.883495
FR 4404288163,2017-04,675.048543
FR 4404288164,2017-04,751.165048
FR 4404288165,2017-04,956.407766
FR 4404288167,2017-04,948.834951
FR 4404288168,2017-04,1009.126213
FR 4404288169,2017-04,900.000000
FR 4404288171,2017-04,916.601941
FR 4404288172,2017-04,717.475728
FR 4404288174,2017-04,753.495145
FR 4404288175,2017-04,847.281553
FR 4404288176,2017-04,949.514563
FR 4404288177,2017-04,892.330097
FR 4404288178,2017-04,925.048543
FR 4404288180,2017-04,597.864077
FR 4404288183,2017-04,520.679611
FR 4404288185,2017-04,574.174757
FR 4404288188,2017-04,917.864077
FR 4404288190,2017-04,61.165048
FR 4404288192,2017-04,793.786407
FR 4404288193,2017-04,399.514563
FR 4404658920,2017-04,852.427184
FR 4404658938,2017-04,537.378640
FR 4404658982,2017-04,737.766990
FR 4404659023,2017-04,763.203883
FR 4404659034,2017-04,844.951456
FR 4454691593,2017-04,1117.766990
FR 4912264927,2017-04,473.689320
FR 4945368325,2017-04,586.116504
FR 4950954269,2017-04,526.601941
FR 4954667338,2017-04,919.805825
FR 4956691421,2017-04,577.961165
FR 4958880362,2017-04,629.902912
FR 4963097404,2017-04,826.699029
FR 4968695856,2017-04,1158.058252
FR 4404288019,2017-05,78.349514
FR 4404288028,2017-05,383.495145
FR 4404288029,2017-05,742.038834
FR 4404288045,2017-05,70.873786
FR 4404288050,2017-05,1113.592233
FR 4404288068,2017-05,935.728155
FR 4404288069,2017-05,534.077669
FR 4404288075,2017-05,835.922330
FR 4404288079,2017-05,835.436893
FR 4404288080,2017-05,817.281553
FR 4404288082,2017-05,658.155339
FR 4404288083,2017-05,694.951456
FR 4404288088,2017-05,670.388349
FR 4404288097,2017-05,830.000000
FR 4404288098,2017-05,558.349514
FR 4404288100,2017-05,795.339805
FR 4404288101,2017-05,812.135922
FR 4404288102,2017-05,625.048543
FR 4404288105,2017-05,1118.834951
FR 4404288109,2017-05,633.009708
FR 4404288110,2017-05,666.796116
FR 4404288111,2017-05,588.834951
FR 4404288112,2017-05,966.019417
FR 4404288115,2017-05,966.601941
FR 4404288116,2017-05,959.902912
FR 4404288120,2017-05,1136.601941
FR 4404288121,2017-05,900.000000
FR 4404288122,2017-05,695.922330
FR 4404288126,2017-05,711.359223
FR 4404288127,2017-05,820.679611
FR 4404288128,2017-05,626.019417
FR 4404288130,2017-05,709.029126
FR 4404288131,2017-05,832.330097
FR 4404288132,2017-05,1123.786407
FR 4404288133,2017-05,1227.184466
FR 4404288134,2017-05,1029.514563
FR 4404288136,2017-05,993.689320
FR 4404288137,2017-05,846.699029
FR 4404288138,2017-05,832.330097
FR 4404288139,2017-05,662.912621
FR 4404288141,2017-05,983.106796
FR 4404288142,2017-05,892.330097
FR 4404288143,2017-05,711.844660
FR 4404288145,2017-05,159.708737
FR 4404288146,2017-05,1214.757281
FR 4404288150,2017-05,1270.291262
FR 4404288155,2017-05,619.417475
FR 4404288156,2017-05,735.728155
FR 4404288157,2017-05,606.019417
FR 4404288158,2017-05,625.242718
FR 4404288159,2017-05,664.271844
FR 4404288161,2017-05,184.174757
FR 4404288162,2017-05,855.533980
FR 4404288163,2017-05,736.699029
FR 4404288164,2017-05,767.281553
FR 4404288165,2017-05,929.805825
FR 4404288167,2017-05,1005.728155
FR 4404288168,2017-05,1034.271844
FR 4404288169,2017-05,937.475728
FR 4404288171,2017-05,916.116504
FR 4404288172,2017-05,203.203883
FR 4404288174,2017-05,816.213592
FR 4404288175,2017-05,805.242718
FR 4404288176,2017-05,943.689320
FR 4404288177,2017-05,877.184466
FR 4404288178,2017-05,973.106796
FR 4404288180,2017-05,696.407766
FR 4404288183,2017-05,526.990291
FR 4404288185,2017-05,621.067961
FR 4404288188,2017-05,922.233009
FR 4404288190,2017-05,773.592233
FR 4404288192,2017-05,981.747572
FR 4404288193,2017-05,1020.388349
FR 4404288194,2017-05,114.660194
FR 4404288195,2017-05,103.203883
FR 4404658920,2017-05,750.582524
FR 4404658938,2017-05,484.854368
FR 4404658982,2017-05,769.223300
FR 4404659023,2017-05,852.718446
FR 4404659034,2017-05,919.902912
FR 4454691592,2017-05,1278.058252
FR 4454691593,2017-05,1069.805825
FR 4912264927,2017-05,486.019417
FR 4945368325,2017-05,487.669902
FR 4947438444,2017-05,223.398058
FR 4950954269,2017-05,135.242718
FR 4954667338,2017-05,1524.368932
FR 4956691421,2017-05,578.640776
FR 4958880362,2017-05,637.864077
FR 4963097404,2017-05,787.475728
FR 4968695856,2017-05,1087.087378
FR 4404288019,2017-06,831.262135
FR 4404288028,2017-06,158.155339
FR 4404288029,2017-06,811.747572
FR 4404288050,2017-06,1018.058252
FR 4404288068,2017-06,948.155339
FR 4404288069,2017-06,224.466019
FR 4404288075,2017-06,753.009708
FR 4404288079,2017-06,780.679611
FR 4404288080,2017-06,705.048543
FR 4404288082,2017-06,666.407766
FR 4404288083,2017-06,623.689320
FR 4404288088,2017-06,627.281553
FR 4404288094,2017-06,501.941747
FR 4404288097,2017-06,813.009708
FR 4404288098,2017-06,189.514563
FR 4404288100,2017-06,722.038834
FR 4404288101,2017-06,714.854368
FR 4404288102,2017-06,344.757281
FR 4404288105,2017-06,971.747572
FR 4404288109,2017-06,593.106796
FR 4404288110,2017-06,633.786407
FR 4404288111,2017-06,465.436893
FR 4404288112,2017-06,824.951456
FR 4404288115,2017-06,910.485436
FR 4404288116,2017-06,796.407766
FR 4404288120,2017-06,1108.834951
FR 4404288121,2017-06,840.485436
FR 4404288122,2017-06,655.533980
FR 4404288126,2017-06,452.524271
FR 4404288127,2017-06,718.737864
FR 4404288128,2017-06,535.533980
FR 4404288130,2017-06,380.776699
FR 4404288131,2017-06,746.019417
FR 4404288132,2017-06,1074.951456
FR 4404288133,2017-06,1100.388349
FR 4404288134,2017-06,994.174757
FR 4404288136,2017-06,990.679611
FR 4404288137,2017-06,869.417475
FR 4404288138,2017-06,798.155339
FR 4404288139,2017-06,547.281553
FR 4404288141,2017-06,948.155339
FR 4404288142,2017-06,840.873786
FR 4404288143,2017-06,681.262135
FR 4404288146,2017-06,1092.718446
FR 4404288149,2017-06,495.242718
FR 4404288150,2017-06,1262.135922
FR 4404288154,2017-06,769.611650
FR 4404288156,2017-06,650.776699
FR 4404288157,2017-06,260.970873
FR 4404288159,2017-06,688.834951
FR 4404288162,2017-06,853.980582
FR 4404288163,2017-06,783.300970
FR 4404288164,2017-06,736.893203
FR 4404288165,2017-06,857.864077
FR 4404288167,2017-06,887.669902
FR 4404288168,2017-06,993.980582
FR 4404288169,2017-06,865.631067
FR 4404288171,2017-06,833.300970
