AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
884,1,1,2024-01-19 00:00:00.000,2244,NULL,2024-01-26 11:10:00.000,2024-01-19 00:00:00.000,2024-09-19 00:00:00.000,244,11289.126213,47.654918,1127.087364,2956.601914,1829.514550,3.757786,3.342172,2024-09-19 00:00:00.000,NULL,FR 4404288537
885,1,1,2023-12-13 00:00:00.000,2215,NULL,2023-12-20 08:22:00.000,2023-12-13 00:00:00.000,2024-09-19 00:00:00.000,281,11198.834951,41.049110,879.126197,2454.951429,1575.825232,3.622198,3.277801,2024-09-19 00:00:00.000,NULL,FR 4404288538
886,1,1,2024-03-22 00:00:00.000,2282,NULL,2024-03-26 11:51:00.000,2024-03-22 00:00:00.000,2024-09-19 00:00:00.000,181,6735.533980,38.329281,1045.048531,2349.417447,1304.368916,3.257967,2.974175,2024-09-19 00:00:00.000,NULL,FR 4404288539
887,1,1,2024-03-30 00:00:00.000,2288,NULL,2024-04-06 07:28:00.000,2024-03-30 00:00:00.000,2024-09-19 00:00:00.000,173,6120.291262,36.438728,950.194162,2350.194143,1399.999981,6.033333,3.213908,2024-09-19 00:00:00.000,NULL,FR 4404288540
888,1,1,2024-01-09 00:00:00.000,2239,,2024-01-14 08:32:00.000,2024-01-09 00:00:00.000,2024-04-12 00:00:00.000,94,1476.699029,16.180851,198.446586,1169.805795,971.359209,4.591578,3.647263,2024-04-12 00:00:00.000,NULL,FR 4404288541
896,1,1,2024-03-31 00:00:00.000,2290,NULL,2024-04-07 14:33:00.000,2024-04-01 00:00:00.000,2024-09-19 00:00:00.000,171,5654.563106,34.059649,756.019403,1965.533948,1209.514545,3.272848,3.552441,2024-09-19 00:00:00.000,NULL,FR 4404288542
897,1,1,2023-12-19 00:00:00.000,2222,NULL,2023-12-26 07:57:00.000,2023-12-19 00:00:00.000,2024-09-18 00:00:00.000,274,9042.815533,33.993065,752.232994,2200.582492,1448.349498,4.254472,3.355781,2024-09-18 00:00:00.000,NULL,FR 4404288543
899,1,1,2024-02-04 00:00:00.000,2256,NULL,2024-02-11 18:46:00.000,2024-02-05 00:00:00.000,2024-09-19 00:00:00.000,227,6330.388349,28.723788,722.621346,1811.165019,1088.543673,4.811858,3.430619,2024-09-19 00:00:00.000,NULL,FR 4404288544
901,1,1,2024-03-24 00:00:00.000,2284,NULL,2024-03-31 20:02:00.000,2024-03-25 00:00:00.000,2024-09-19 00:00:00.000,178,7220.679611,41.782584,870.194162,2469.320360,1599.126198,4.715698,3.404972,2024-09-19 00:00:00.000,NULL,FR 4404288545
902,1,1,2024-01-26 00:00:00.000,2253,NULL,2024-01-31 17:33:00.000,2024-01-27 00:00:00.000,2024-09-19 00:00:00.000,236,7875.922330,34.373728,802.038821,2257.669875,1455.631054,4.807932,3.531645,2024-09-19 00:00:00.000,NULL,FR 4404288546
