"","InsId","InsSirId","InsNumber","InsRemarks","InsDate","InsLacId","AniId","AniLifeNumber","AniBirthday","AniGenId","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacRemarks","LacColostrumDate","dry_off_date","dry_off_interval","AniActive","category","customer_id","date","entry_code","entry_date","exit_code","exit_date","month","year"
"97",30,NA,1,"",2016-01-18,258,26,"FR4404288097",2012-01-13,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",31,NA,2,"",2016-03-02,258,26,"FR4404288097",2012-01-13,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",32,NA,3,"",2016-03-03,258,26,"FR4404288097",2012-01-13,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1825,NA,1,"",2018-06-19,671,26,"FR4404288097",2012-01-13,2,"",4,4,2018-01-10,"",2018-01-14,2019-02-05,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-13,"B",2019-07-29,1,2015
"101",1831,NA,1,"",2018-08-14,723,27,"FR4404288098",2012-01-20,2,"FR 4404288040",5,3,2018-06-06,"",2018-06-13,2019-07-29,79,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-20,"E",2023-01-30,1,2015
"102",1884,NA,3,"",2018-10-15,723,27,"FR4404288098",2012-01-20,2,"FR 4404288040",5,3,2018-06-06,"",2018-06-13,2019-07-29,79,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-20,"E",2023-01-30,1,2015
"103",1871,NA,2,"",2018-09-28,723,27,"FR4404288098",2012-01-20,2,"FR 4404288040",5,3,2018-06-06,"",2018-06-13,2019-07-29,79,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-20,"E",2023-01-30,1,2015
"104",1956,NA,6,"",2019-01-12,723,27,"FR4404288098",2012-01-20,2,"FR 4404288040",5,3,2018-06-06,"",2018-06-13,2019-07-29,79,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-20,"E",2023-01-30,1,2015
"105",1907,NA,4,"",2018-11-07,723,27,"FR4404288098",2012-01-20,2,"FR 4404288040",5,3,2018-06-06,"",2018-06-13,2019-07-29,79,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-20,"E",2023-01-30,1,2015
"106",1918,NA,5,"",2018-11-26,723,27,"FR4404288098",2012-01-20,2,"FR 4404288040",5,3,2018-06-06,"",2018-06-13,2019-07-29,79,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-20,"E",2023-01-30,1,2015
"107",33,NA,1,"",2015-11-13,260,27,"FR4404288098",2012-01-20,2,"FR 4404288040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",242,NA,1,"",2016-10-22,377,27,"FR4404288098",2012-01-20,2,"FR 4404288040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",514,NA,1,"",2017-09-01,530,27,"FR4404288098",2012-01-20,2,"FR 4404288040",4,2,2017-06-19,"",2017-06-26,2018-04-12,55,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-20,"E",2023-01-30,1,2015
