"","AniLifeNumber","lac_number_calculated","AniBirthday","AniActive","milk_production_start_date","milk_production_end_date","last_milk_date","total_milk_prod","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacCalvingDate","age_at_first_calving","lactation_duration"
"94","FR4404288127",1,2012-12-30,FALSE,2016-11-14,2017-09-20,2017-09-20,8849.6,2.98312903225806,3.12129032258064,2017-09-20,NA,FALSE,2016-11-13,33,310
"95","FR4404288128",2,2013-01-07,FALSE,2017-10-22,2018-09-19,2018-09-19,14084.5,4.4092082111437,3.28492668621701,2018-09-19,143,FALSE,2017-10-22,23,332
"96","FR4404288128",3,2013-01-07,FALSE,2019-02-09,2019-10-28,2019-10-28,8429.8,4.74601503759398,3.36484962406015,2019-10-28,80,FALSE,2019-02-08,23,261
"97","FR4404288128",4,2013-01-07,FALSE,2020-01-16,2021-02-25,2021-02-25,12260.1,5.10423728813559,3.4946004842615,2021-02-25,97,FALSE,2020-01-16,23,406
"98","FR4404288128",5,2013-01-07,FALSE,2021-06-02,2022-01-28,2022-01-28,7553.70000000001,4.67983606557377,3.4097131147541,2022-01-28,NA,FALSE,2021-06-01,23,240
"99","FR4404288129",1,2013-05-16,FALSE,2016-10-18,2017-04-12,2017-04-12,3126.9,4.30735632183908,3.3382183908046,2017-04-12,NA,FALSE,2016-10-16,29,176
"100","FR4404288130",2,2013-08-08,FALSE,2017-09-05,2018-04-12,2018-04-12,6399.6,4.77657777777778,3.37613333333333,2018-04-12,21,FALSE,2017-09-04,25,219
"101","FR4404288131",2,2013-08-14,FALSE,2017-01-15,2017-11-10,2017-11-10,8029.29999999999,3.78953488372093,3.12946843853821,2017-11-10,76,FALSE,2017-01-14,24,299
"102","FR4404288132",2,2013-08-18,FALSE,2017-02-14,2018-03-31,2018-03-31,13274.9,4.96065060240964,3.51231325301205,2018-03-31,69,FALSE,2017-02-14,28,410
"103","FR4404288132",3,2013-08-18,FALSE,2018-06-08,2019-12-02,2019-12-02,18575.2,4.96268115942029,3.46460144927536,2019-12-02,NA,FALSE,2018-06-08,28,542
"104","FR4404288133",2,2013-08-20,FALSE,2017-04-03,2018-03-12,2018-03-12,11036.2,4.95661891117479,3.0858452722063,2018-03-12,56,FALSE,2017-04-02,26,343
"105","FR4404288133",3,2013-08-20,FALSE,2018-05-07,2019-07-29,2019-07-29,14144.9,5.20094298245614,3.1519298245614,2019-07-29,NA,FALSE,2018-05-07,26,448
"106","FR4404288134",2,2013-08-26,FALSE,2016-12-26,2017-12-01,2017-12-01,10760,4.36102040816326,3.47055393586006,2017-12-01,54,FALSE,2016-12-26,25,340
"107","FR4404288134",3,2013-08-26,FALSE,2018-01-24,2018-11-22,2018-11-22,11917.4,4.13451612903226,3.43348387096774,2018-11-22,46,FALSE,2018-01-24,25,302
"108","FR4404288134",4,2013-08-26,FALSE,2019-01-07,2020-06-29,2020-06-29,17951,4.56985401459854,3.50171532846715,2020-06-29,NA,FALSE,2019-01-07,25,539
"109","FR4404288136",2,2013-09-10,FALSE,2016-12-26,2017-12-01,2017-12-01,10954.9,3.62314868804665,3.43962099125364,2017-12-01,116,FALSE,2016-12-26,28,340
"110","FR4404288136",3,2013-09-10,FALSE,2018-03-27,2019-04-17,2019-04-17,13370.4,4.15343434343434,3.36179292929293,2019-04-17,163,FALSE,2018-03-26,28,386
"111","FR4404288136",4,2013-09-10,FALSE,2019-09-27,2020-09-15,2020-09-15,9863,4.51519444444444,3.48969444444444,2020-09-15,124,FALSE,2019-09-27,28,354
"112","FR4404288136",5,2013-09-10,FALSE,2021-01-17,2021-08-11,2021-08-11,7750,3.8722966507177,3.42564593301435,2021-08-11,NA,FALSE,2021-01-17,28,206
"113","FR4404288137",2,2013-09-14,FALSE,2016-12-22,2017-11-10,2017-11-10,9240.30000000001,3.29253086419753,3.12604938271605,2017-11-10,23,FALSE,2016-12-22,26,323
"114","FR4404288137",4,2013-09-14,FALSE,2018-01-09,2018-12-26,2018-12-26,12368.8,3.36562326869806,3.12883656509695,2018-12-26,NA,FALSE,2018-01-09,26,351
